customer_id,gender,senior_subscriber,family_account,kids_profile,subscription_months,mobile_access,shared_profiles,streaming_quality,account_security,offline_downloads,device_protection,premium_support,live_tv_package,movie_package,subscription_plan,digital_billing,payment_method,monthly_subscription_fee,total_spent,churn,views_per_week,average_watch_time,number_of_devices,favorite_genre,engagement_score,subscription_value_ratio
7590-VHVEG,Female,0,Yes,No,1,No,Single,Standard HD,No,Yes,No,No,No,No,Monthly,Yes,Electronic check,29.85,29.85,0,7.6,4.24,5,Reality,6.44,1.0
5575-GNVDE,Male,0,No,No,34,Yes,Single,Standard HD,Yes,No,Yes,No,No,No,Annual,No,Mailed check,56.95,1889.5,0,15.4,4.76,5,Kids,14.66,33.18
3668-QPYBK,Male,0,No,No,2,Yes,Single,Standard HD,Yes,Yes,No,No,No,No,Monthly,Yes,Mailed check,53.85,108.15,1,5.3,3.96,2,Reality,10.49,2.01
7795-CFOCW,Male,0,No,No,45,No,Single,Standard HD,Yes,No,Yes,Yes,No,No,Annual,No,Bank transfer (automatic),42.3,1840.75,0,20.4,2.85,2,Comedy,29.07,43.52
9237-HQITU,Female,0,No,No,2,Yes,Single,Ultra HD,No,No,No,No,No,No,Monthly,Yes,Electronic check,70.7,151.65,1,12.9,2.47,5,Comedy,6.37,2.14
9305-CDSKC,Female,0,No,No,8,Yes,Multiple,Ultra HD,No,No,Yes,No,Yes,Yes,Monthly,Yes,Electronic check,99.65,820.5,1,26.1,4.73,4,Reality,30.86,8.23
1452-KIOVK,Male,0,No,Yes,22,Yes,Multiple,Ultra HD,No,Yes,No,No,Yes,No,Monthly,Yes,Credit card (automatic),89.1,1949.4,0,22.4,4.86,5,Drama,21.77,21.88
6713-OKOMC,Female,0,No,No,10,No,Single,Standard HD,Yes,No,No,No,No,No,Monthly,No,Mailed check,29.75,301.9,0,12.8,3.03,4,Action,9.7,10.15
7892-POOKP,Female,0,Yes,No,28,Yes,Multiple,Ultra HD,No,No,Yes,Yes,Yes,Yes,Monthly,Yes,Electronic check,104.8,3046.05,1,11.4,3.53,5,Action,8.05,29.07
6388-TABGU,Male,0,No,Yes,62,Yes,Single,Standard HD,Yes,Yes,No,No,No,No,Annual,No,Bank transfer (automatic),56.15,3487.95,0,22.0,3.93,4,Documentary,21.62,62.12
9763-GRSKD,Male,0,Yes,Yes,13,Yes,Single,Standard HD,Yes,No,No,No,No,No,Monthly,Yes,Mailed check,49.95,587.45,0,10.1,1.41,5,Action,2.85,11.76
7469-LKBCI,Male,0,No,No,16,Yes,Single,Mobile only,No,No,No,No,No,No,Two-Year,No,Credit card (automatic),18.95,326.8,0,8.3,4.19,3,Reality,11.59,17.25
8091-TTVAX,Male,0,Yes,No,58,Yes,Multiple,Ultra HD,No,No,Yes,No,Yes,Yes,Annual,No,Credit card (automatic),100.35,5681.1,0,17.4,1.68,3,Drama,9.74,56.61
0280-XJGEX,Male,0,No,No,49,Yes,Multiple,Ultra HD,No,Yes,Yes,No,Yes,Yes,Monthly,Yes,Bank transfer (automatic),103.7,5036.3,1,6.1,2.54,5,Documentary,3.1,48.57
5129-JLPIS,Male,0,No,No,25,Yes,Single,Ultra HD,Yes,No,Yes,Yes,Yes,Yes,Monthly,Yes,Electronic check,105.5,2686.05,0,6.8,3.84,1,Comedy,26.11,25.46
3655-SNQYZ,Female,0,Yes,Yes,69,Yes,Multiple,Ultra HD,Yes,Yes,Yes,Yes,Yes,Yes,Two-Year,No,Credit card (automatic),113.25,7895.15,0,28.9,2.96,2,Documentary,42.77,69.71
8191-XWSZG,Female,0,No,No,52,Yes,Single,Mobile only,No,No,No,No,No,No,Annual,No,Mailed check,20.65,1022.95,0,24.8,3.08,1,Action,76.38,49.54
9959-WOFKT,Male,0,No,Yes,71,Yes,Multiple,Ultra HD,Yes,No,Yes,No,Yes,Yes,Two-Year,No,Bank transfer (automatic),106.7,7382.25,0,30.5,1.8,3,Documentary,18.3,69.19
4190-MFLUW,Female,0,Yes,Yes,10,Yes,Single,Standard HD,No,No,Yes,Yes,No,No,Monthly,No,Credit card (automatic),55.2,528.35,1,28.8,3.21,4,Kids,23.11,9.57
4183-MYFRB,Female,0,No,No,21,Yes,Single,Ultra HD,No,Yes,Yes,No,No,Yes,Monthly,Yes,Electronic check,90.05,1862.9,0,16.7,2.35,4,Sports,9.81,20.69
8779-QRDMV,Male,1,No,No,1,No,Single,Standard HD,No,No,Yes,No,No,Yes,Monthly,Yes,Electronic check,39.65,39.65,1,23.0,3.05,3,Comedy,23.38,1.0
1680-VDCWW,Male,0,Yes,No,12,Yes,Single,Mobile only,No,No,No,No,No,No,Annual,No,Bank transfer (automatic),19.8,202.25,0,4.5,3.78,1,Kids,17.01,10.21
1066-JKSGK,Male,0,No,No,1,Yes,Single,Mobile only,No,No,No,No,No,No,Monthly,No,Mailed check,20.15,20.15,1,11.9,3.4,5,Kids,8.09,1.0
3638-WEABW,Female,0,Yes,No,58,Yes,Multiple,Standard HD,No,Yes,No,Yes,No,No,Two-Year,Yes,Credit card (automatic),59.9,3505.1,0,9.4,4.1,5,Sports,7.71,58.52
6322-HRPFA,Male,0,Yes,Yes,49,Yes,Single,Standard HD,Yes,Yes,No,Yes,No,No,Monthly,No,Credit card (automatic),59.6,2970.3,0,23.1,4.04,1,Kids,93.32,49.84
6865-JZNKO,Female,0,No,No,30,Yes,Single,Standard HD,Yes,Yes,No,No,No,No,Monthly,Yes,Bank transfer (automatic),55.3,1530.6,0,17.8,1.44,5,Sports,5.13,27.68
6467-CHFZW,Male,0,Yes,Yes,47,Yes,Multiple,Ultra HD,No,Yes,No,No,Yes,Yes,Monthly,Yes,Electronic check,99.35,4749.15,1,15.5,3.75,1,Drama,58.12,47.8
8665-UTDHZ,Male,0,Yes,Yes,1,No,Single,Standard HD,No,Yes,No,No,No,No,Monthly,No,Electronic check,30.2,30.2,1,27.2,4.48,1,Drama,121.86,1.0
5248-YGIJN,Male,0,Yes,No,72,Yes,Multiple,Standard HD,Yes,Yes,Yes,Yes,Yes,Yes,Two-Year,Yes,Credit card (automatic),90.25,6369.45,0,25.6,4.25,5,Documentary,21.76,70.58
8773-HHUOZ,Female,0,No,Yes,17,Yes,Single,Standard HD,No,No,No,No,Yes,Yes,Monthly,Yes,Mailed check,64.7,1093.1,1,10.5,4.01,1,Action,42.1,16.89
3841-NFECX,Female,1,Yes,No,71,Yes,Multiple,Ultra HD,Yes,Yes,Yes,Yes,No,No,Two-Year,Yes,Credit card (automatic),96.35,6766.95,0,22.4,4.85,2,Comedy,54.32,70.23
4929-XIHVW,Male,1,Yes,No,2,Yes,Single,Ultra HD,No,No,Yes,No,Yes,Yes,Monthly,Yes,Credit card (automatic),95.5,181.65,0,21.8,3.78,1,Sports,82.4,1.9
6827-IEAUQ,Female,0,Yes,Yes,27,Yes,Single,Standard HD,Yes,Yes,Yes,Yes,No,No,Annual,No,Mailed check,66.15,1874.45,0,5.3,0.81,5,Documentary,0.86,28.34
7310-EGVHZ,Male,0,No,No,1,Yes,Single,Mobile only,No,No,No,No,No,No,Monthly,No,Bank transfer (automatic),20.2,20.2,0,19.6,3.7,4,Documentary,18.13,1.0
3413-BMNZE,Male,1,No,No,1,Yes,Single,Standard HD,No,No,No,No,No,No,Monthly,No,Bank transfer (automatic),45.25,45.25,0,15.4,4.12,3,Kids,21.15,1.0
6234-RAAPL,Female,0,Yes,Yes,72,Yes,Multiple,Ultra HD,Yes,Yes,No,Yes,Yes,No,Two-Year,No,Bank transfer (automatic),99.9,7251.7,0,7.1,3.33,4,Kids,5.91,72.59
6047-YHPVI,Male,0,No,No,5,Yes,Single,Ultra HD,No,No,No,No,No,No,Monthly,Yes,Electronic check,69.7,316.9,1,24.4,2.88,2,Drama,35.14,4.55
6572-ADKRS,Female,0,No,No,46,Yes,Single,Ultra HD,No,No,Yes,No,No,No,Monthly,Yes,Credit card (automatic),74.8,3548.3,0,17.6,3.14,2,Reality,27.63,47.44
5380-WJKOV,Male,0,No,No,34,Yes,Multiple,Ultra HD,No,Yes,Yes,No,Yes,Yes,Monthly,Yes,Electronic check,106.35,3549.25,1,20.1,2.29,3,Drama,15.34,33.37
8168-UQWWF,Female,0,No,No,11,Yes,Multiple,Ultra HD,No,No,Yes,No,Yes,Yes,Monthly,Yes,Bank transfer (automatic),97.85,1105.4,1,22.8,2.1,5,Reality,9.58,11.3
8865-TNMNX,Male,0,Yes,Yes,10,Yes,Single,Standard HD,No,Yes,No,No,No,No,Annual,No,Mailed check,49.55,475.7,0,5.5,1.48,2,Kids,4.07,9.6
9489-DEDVP,Female,0,Yes,Yes,70,Yes,Multiple,Standard HD,Yes,Yes,No,No,Yes,No,Two-Year,Yes,Credit card (automatic),69.2,4872.35,0,17.7,3.94,4,Drama,17.43,70.41
9867-JCZSP,Female,0,Yes,Yes,17,Yes,Single,Mobile only,No,No,No,No,No,No,Annual,No,Mailed check,20.75,418.25,0,19.4,3.32,5,Drama,12.88,20.16
4671-VJLCL,Female,0,No,No,63,Yes,Multiple,Standard HD,Yes,Yes,Yes,Yes,Yes,No,Two-Year,Yes,Credit card (automatic),79.85,4861.45,0,11.7,1.58,5,Reality,3.7,60.88
4080-IIARD,Female,0,Yes,No,13,Yes,Multiple,Standard HD,Yes,Yes,No,Yes,Yes,No,Monthly,Yes,Electronic check,76.2,981.45,0,23.4,4.7,2,Comedy,54.99,12.88
3714-NTNFO,Female,0,No,No,49,Yes,Multiple,Ultra HD,No,No,No,No,No,Yes,Monthly,Yes,Electronic check,84.5,3906.7,0,22.3,3.97,5,Sports,17.71,46.23
5948-UJZLF,Male,0,No,No,2,Yes,Single,Standard HD,No,Yes,No,No,No,No,Monthly,No,Mailed check,49.25,97.0,0,12.9,1.31,4,Reality,4.22,1.97
7760-OYPDY,Female,0,No,No,2,Yes,Single,Ultra HD,No,No,No,No,Yes,No,Monthly,Yes,Electronic check,80.65,144.15,1,6.4,3.43,2,Action,10.98,1.79
7639-LIAYI,Male,0,No,No,52,Yes,Multiple,Standard HD,Yes,No,No,Yes,Yes,Yes,Two-Year,Yes,Credit card (automatic),79.75,4217.8,0,8.5,2.6,2,Reality,11.05,52.89
2954-PIBKO,Female,0,Yes,Yes,69,Yes,Multiple,Standard HD,Yes,No,Yes,Yes,No,No,Two-Year,Yes,Credit card (automatic),64.15,4254.1,0,28.1,3.48,1,Documentary,97.79,66.31
8012-SOUDQ,Female,1,No,No,43,Yes,Multiple,Ultra HD,No,Yes,No,No,Yes,No,Monthly,Yes,Electronic check,90.25,3838.75,0,12.2,3.88,2,Drama,23.67,42.53
9420-LOJKX,Female,0,No,No,15,Yes,Single,Ultra HD,Yes,Yes,No,No,Yes,Yes,Monthly,Yes,Credit card (automatic),99.1,1426.4,1,24.8,1.78,1,Comedy,44.14,14.39
6575-SUVOI,Female,1,Yes,No,25,Yes,Multiple,Standard HD,Yes,No,No,Yes,Yes,No,Monthly,Yes,Credit card (automatic),69.5,1752.65,0,4.6,1.72,1,Drama,7.91,25.22
7495-OOKFY,Female,1,Yes,No,8,Yes,Multiple,Ultra HD,No,Yes,No,No,No,No,Monthly,Yes,Credit card (automatic),80.65,633.3,1,26.3,5.17,1,Drama,135.97,7.85
4667-QONEA,Female,1,Yes,Yes,60,Yes,Single,Standard HD,Yes,Yes,Yes,Yes,No,Yes,Annual,Yes,Credit card (automatic),74.85,4456.35,0,5.6,1.61,5,Sports,1.8,59.54
1658-BYGOY,Male,1,No,No,18,Yes,Multiple,Ultra HD,No,No,No,No,Yes,Yes,Monthly,Yes,Electronic check,95.45,1752.55,1,18.0,1.55,2,Documentary,13.95,18.36
8769-KKTPH,Female,0,Yes,Yes,63,Yes,Multiple,Ultra HD,Yes,No,No,No,Yes,Yes,Annual,Yes,Credit card (automatic),99.65,6311.2,0,23.0,1.45,1,Comedy,33.35,63.33
5067-XJQFU,Male,1,Yes,Yes,66,Yes,Multiple,Ultra HD,No,Yes,Yes,Yes,Yes,Yes,Annual,Yes,Electronic check,108.45,7076.35,0,30.2,4.18,4,Reality,31.56,65.25
3957-SQXML,Female,0,Yes,Yes,34,Yes,Multiple,Mobile only,No,No,No,No,No,No,Two-Year,No,Credit card (automatic),24.95,894.3,0,6.7,3.66,4,Comedy,6.13,35.84
5954-BDFSG,Female,0,No,No,72,Yes,Multiple,Ultra HD,No,No,Yes,Yes,Yes,Yes,Two-Year,Yes,Credit card (automatic),107.5,7853.7,0,17.3,3.18,3,Reality,18.34,73.06
0434-CSFON,Female,0,Yes,No,47,Yes,Multiple,Ultra HD,No,No,Yes,No,Yes,Yes,Monthly,Yes,Electronic check,100.5,4707.1,0,29.5,2.63,5,Action,15.52,46.84
1215-FIGMP,Male,0,No,No,60,Yes,Multiple,Ultra HD,No,Yes,No,No,Yes,No,Monthly,Yes,Bank transfer (automatic),89.9,5450.7,0,14.7,1.47,4,Action,5.4,60.63
