customer_id,gender,senior_subscriber,family_account,kids_profile,subscription_months,mobile_access,shared_profiles,streaming_quality,account_security,offline_downloads,device_protection,premium_support,live_tv_package,movie_package,subscription_plan,digital_billing,payment_method,monthly_subscription_fee,total_spent,churn,views_per_week,average_watch_time,number_of_devices,favorite_genre,engagement_score,subscription_value_ratio,churn_probability,predicted_class,risk_level
7590-VHVEG,Female,0,Yes,No,1,No,Single,Standard HD,No,Yes,No,No,No,No,Monthly,Yes,Electronic check,29.85,29.85,0,7.6,4.24,5,Reality,6.44,1.0,0.6486,1,Medium
5575-GNVDE,Male,0,No,No,34,Yes,Single,Standard HD,Yes,No,Yes,No,No,No,Annual,No,Mailed check,56.95,1889.5,0,15.4,4.76,5,Kids,14.66,33.18,0.0604,0,Low
3668-QPYBK,Male,0,No,No,2,Yes,Single,Standard HD,Yes,Yes,No,No,No,No,Monthly,Yes,Mailed check,53.85,108.15,1,5.3,3.96,2,Reality,10.49,2.01,0.6299,1,Medium
7795-CFOCW,Male,0,No,No,45,No,Single,Standard HD,Yes,No,Yes,Yes,No,No,Annual,No,Bank transfer (automatic),42.3,1840.75,0,20.4,2.85,2,Comedy,29.07,43.52,0.0353,0,Low
9237-HQITU,Female,0,No,No,2,Yes,Single,Ultra HD,No,No,No,No,No,No,Monthly,Yes,Electronic check,70.7,151.65,1,12.9,2.47,5,Comedy,6.37,2.14,0.8828,1,High
9305-CDSKC,Female,0,No,No,8,Yes,Multiple,Ultra HD,No,No,Yes,No,Yes,Yes,Monthly,Yes,Electronic check,99.65,820.5,1,26.1,4.73,4,Reality,30.86,8.23,0.9117,1,High
1452-KIOVK,Male,0,No,Yes,22,Yes,Multiple,Ultra HD,No,Yes,No,No,Yes,No,Monthly,Yes,Credit card (automatic),89.1,1949.4,0,22.4,4.86,5,Drama,21.77,21.88,0.4837,1,Medium
6713-OKOMC,Female,0,No,No,10,No,Single,Standard HD,Yes,No,No,No,No,No,Monthly,No,Mailed check,29.75,301.9,0,12.8,3.03,4,Action,9.7,10.15,0.3218,0,Low
7892-POOKP,Female,0,Yes,No,28,Yes,Multiple,Ultra HD,No,No,Yes,Yes,Yes,Yes,Monthly,Yes,Electronic check,104.8,3046.05,1,11.4,3.53,5,Action,8.05,29.07,0.7216,1,High
6388-TABGU,Male,0,No,Yes,62,Yes,Single,Standard HD,Yes,Yes,No,No,No,No,Annual,No,Bank transfer (automatic),56.15,3487.95,0,22.0,3.93,4,Documentary,21.62,62.12,0.0343,0,Low
9763-GRSKD,Male,0,Yes,Yes,13,Yes,Single,Standard HD,Yes,No,No,No,No,No,Monthly,Yes,Mailed check,49.95,587.45,0,10.1,1.41,5,Action,2.85,11.76,0.2071,0,Low
7469-LKBCI,Male,0,No,No,16,Yes,Single,Mobile only,No,No,No,No,No,No,Two-Year,No,Credit card (automatic),18.95,326.8,0,8.3,4.19,3,Reality,11.59,17.25,0.0252,0,Low
8091-TTVAX,Male,0,Yes,No,58,Yes,Multiple,Ultra HD,No,No,Yes,No,Yes,Yes,Annual,No,Credit card (automatic),100.35,5681.1,0,17.4,1.68,3,Drama,9.74,56.61,0.2377,0,Low
