threshold,f1,precision,recall,false_negatives,false_positives,true_positives,true_negatives
0.4,0.6347177848775293,0.5274336283185841,0.7967914438502673,76,267,298,768
0.45,0.6232876712328768,0.5438247011952191,0.7299465240641712,101,229,273,806
0.35,0.618905472636816,0.4928684627575277,0.8315508021390374,63,320,311,715
0.3,0.6125116713352008,0.47058823529411764,0.8770053475935828,46,369,328,666
0.5,0.6114494518879415,0.5615212527964206,0.6711229946524064,123,196,251,839
0.55,0.6044678055190539,0.5943152454780362,0.6149732620320856,144,157,230,878
0.25,0.5909878682842288,0.4371794871794872,0.9117647058823529,33,439,341,596
0.6,0.5771428571428572,0.6196319018404908,0.5401069518716578,172,124,202,911
0.2,0.5686274509803921,0.40941176470588236,0.93048128342246,26,502,348,533
0.65,0.5614567526555387,0.6491228070175439,0.4946524064171123,189,100,185,935
0.7,0.5442834138486312,0.6842105263157895,0.45187165775401067,205,78,169,957
0.75,0.4727272727272727,0.7386363636363636,0.34759358288770054,244,46,130,989
0.8,0.37524950099800397,0.7401574803149606,0.25133689839572193,280,33,94,1002
